Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_question,nv_context_timing_First Click,nv_context_timing_Last Click,nv_context_timing_Page Submit,nv_context_timing_Click Count,nv_comprehend_gu,nv_comprehend_sf,nv_text_timing_First Click,nv_text_timing_Last Click,nv_text_timing_Page Submit,nv_text_timing_Click Count,rad_context_timing_First Click,rad_context_timing_Last Click,rad_context_timing_Page Submit,rad_context_timing_Click Count,rad_comprehend_gu,rad_comprehend_sf,rad_text_timing_First Click,rad_text_timing_Last Click,rad_text_timing_Page Submit,rad_text_timing_Click Count,manipulation_check#1_1,manipulation_check#1_2,manipulation_check#2_1,manipulation_check#2_2,manipulation_check#3_1,manipulation_check#3_2,disruptive#1_1,disruptive#1_2,disruptive#1_3,disruptive#1_4,disruptive#1_5,disruptive#2_1,disruptive#2_2,disruptive#2_3,disruptive#2_4,disruptive#2_5,disruptive#3_1,disruptive#3_2,disruptive#3_3,disruptive#3_4,disruptive#3_5,identification#1_1,identification#1_2,identification#1_3,identification#2_1,identification#2_2,identification#2_3,identification#3_1,identification#3_2,identification#3_3,risk_perception#1_1,risk_perception#1_2,risk_perception#1_3,risk_perception#1_4,risk_perception#1_5,risk_perception#1_6,risk_perception#1_7,risk_perception#2_1,risk_perception#2_2,risk_perception#2_3,risk_perception#2_4,risk_perception#2_5,risk_perception#2_6,risk_perception#2_7,risk_perception#3_1,risk_perception#3_2,risk_perception#3_3,risk_perception#3_4,risk_perception#3_5,risk_perception#3_6,risk_perception#3_7,dv_support_1,dv_support_2,dv_support_3,dv_support_4,compromise#1_1,compromise#1_2,compromise#2_1,compromise#2_2,compromise#3_1,compromise#3_2,dv_support_action#1_1,dv_support_action#1_2,dv_support_action#1_3,dv_support_action#1_4,dv_support_action#2_1,dv_support_action#2_2,dv_support_action#2_3,dv_support_action#2_4,dv_support_action#3_1,dv_support_action#3_2,dv_support_action#3_3,dv_support_action#3_4,police_action#1_1,police_action#1_2,police_action#2_1,police_action#2_2,police_action#3_1,police_action#3_2,sympathy_1,sympathy_2,sympathy_3,sympathy_4,gender,gender_3_TEXT,age,race,race_9_TEXT,state,employment,marriage,education,income,relig_group,relig_group_7_TEXT,relig_identity,polit_ideology,party,party_3_TEXT,party_identification,2020_election,2020_election_4_TEXT,2024_election,2024_election_4_TEXT,feedback,Q_TotalDuration,Q_Language,Q_TerminateFlag,PROLIFIC_PID,consent,condition
100,21,1,10/20/25 21:26,R_7fkh1rfMPzB8V7c,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,EN,,,,
100,7,1,10/20/25 21:26,R_7MtGPVPLSxRQNs7,preview,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,EN,,,,
100,248,1,10/21/25 4:21,R_7svT2uiESeyFtM3,preview,EN,1,2.67,2.67,7.932,1,1,1,14.871,36.718,41.653,14,0,0,3.021,0,1,1,7.911,37.852999999999994,41.17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,EN,,,,
100,84,1,10/21/25 18:36,R_78YZXcyGXu0NSq3,preview,EN,1,,,,,,,,,,,1.771,1.771,7.335,1,,,5.359,5.359,6.241,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,EN,,,,
100,25,1,10/22/25 22:57,R_7ZZMXf0Hyn62dsB,preview,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,EN,,,,
100,704,1,10/26/25 15:57,R_8QoGhjmx8aOnX82,anonymous,EN,1,,,,,,,,,,,2.915,17.923,18.401,6,1,1,0.822,150.002,150.701,34,7,7,7,1,1,7,4,3,5,3,2,5,3,6,7,6,1,6,2,3,1,3,4,7,2,3,6,1,4,5,2,5,6,2,7,2,7,1,3,6,2,1,3,2,5,1,3,5,4,7,6,3,5,1,4,2,4,7,1,2,2,4,6,2,7,6,2,3,5,1,6,6,7,6,1,4,6,3,3,2,3,3,6,3,"Sucky:).£;,68",0,6,,27,3,3,4,4,7,U,"3,4,5,6,7",5,4,,4,3,,4,88£5,82828372828/£!;&:,704,EN,,,1,1
100,282,1,10/26/25 21:45,R_5dRsthfzMu5Kh19,anonymous,EN,1,0,0,4.191,0,1,1,3.736,48.583,51.941,14,,,,,,,,,,,2,6,3,6,2,6,6,3,3,3,3,5,4,2,2,2,5,5,5,2,2,2,2,2,3,2,4,3,2,4,4,6,5,5,6,5,5,5,6,5,6,5,5,5,6,5,6,6,5,5,6,6,6,6,6,1,5,3,4,4,4,2,5,3,3,3,3,2,3,4,5,3,3,6,3,6,3,5,3,6,6,2,6,1,,,1,,3,3,3,2,5,4,,6,4,2,,2,2,,2,,NA,282,EN,,,1,0
100,327,1,10/26/25 21:51,R_1Xb6nDILeAxFDMd,anonymous,EN,1,,,,,,,,,,,0,0,2.56,0,"1,0","1,0",61.322,68.256,69.426,6,2,2,2,4,4,4,2,3,4,3,2,3,3,5,4,2,3,5,4,3,2,2,1,5,3,3,3,3,2,2,2,2,4,2,2,2,4,2,3,5,3,3,3,5,5,3,6,4,4,5,5,2,2,3,2,3,2,5,3,4,5,2,3,5,4,3,4,5,5,3,3,5,6,4,3,4,3,5,4,4,4,4,4,2,,,1,,41,2,5,3,5,2,,4,3,2,,3,2,,3,,,327,EN,,,1,1
100,266,1,10/26/25 21:55,R_6Pc1EUYYFMs8X3H,anonymous,EN,1,0,0,6.286,0,1,1,3.279,5.195,5.681,3,,,,,,,,,,,2,6,2,7,1,6,5,2,5,2,2,6,2,5,3,2,5,2,7,1,3,3,2,3,2,2,3,2,1,4,3,6,2,4,3,4,4,5,4,3,4,4,4,4,5,5,3,5,4,4,3,4,4,5,5,2,2,2,3,3,1,2,2,2,1,3,2,2,2,4,4,2,2,4,2,6,2,6,2,5,6,5,6,1,,30,5,,3,3,3,2,4,4,,5,4,2,,2,3,,3,,,266,EN,,,1,0
100,243,1,10/26/25 22:00,R_3QXRVxSCQXpiMbF,anonymous,EN,1,,,,,,,,,,,0,0,1.401,0,1,1,2.632,4.223,8.182,4,1,5,2,7,7,2,2,2,2,2,3,6,3,5,2,7,2,7,2,7,1,2,1,5,2,3,2,7,6,5,2,4,4,4,4,4,4,7,4,7,7,6,5,6,1,2,2,2,2,2,2,6,6,6,6,2,2,2,2,6,6,2,2,2,1,3,2,2,3,6,6,6,6,4,5,5,6,2,2,7,7,1,7,2,,,1,,47,1,5,3,7,1,,2,1,2,,2,2,,2,,,243,EN,,,1,1
