Progress,Duration (in seconds),Finished,ResponseId,UserLanguage,Q_RecaptchaScore,consent_question,news_context_timing_First Click,news_context_timing_Last Click,news_context_timing_Page Submit,news_context_timing_Click Count,nv_comprehend_main,nv_comprehend_flank,nv_text_timing_First Click,nv_text_timing_Last Click,nv_text_timing_Page Submit,nv_text_timing_Click Count,rad_comprehend_main,rad_comprehend_flank,rad_text_timing_First Click,rad_text_timing_Last Click,rad_text_timing_Page Submit,rad_text_timing_Click Count,manipulation_check#1_1,manipulation_check#1_2,manipulation_check#2_1,manipulation_check#2_2,manip_time_First Click,manip_time_Last Click,manip_time_Page Submit,manip_time_Click Count,identification#1_1,identification#1_2,identification#1_3,identification#2_1,identification#2_2,identification#2_3,ident_time_First Click,ident_time_Last Click,ident_time_Page Submit,ident_time_Click Count,dv_support#1_1,dv_support#1_2,dv_support#1_3,dv_support#1_4,dv_support#2_1,dv_support#2_2,dv_support#2_3,dv_support#2_4,dv_time_First Click,dv_time_Last Click,dv_time_Page Submit,dv_time_Click Count,sympathy_1,sympathy_2,sympathy_3,sympathy_4,sym_time_First Click,sym_time_Last Click,sym_time_Page Submit,sym_time_Click Count,gender,gender_3_TEXT,age,employment,education,income,polit_ideology,reside,feedback,Q_TotalDuration,Q_Language,Q_TerminateFlag,consent,condition
100,211,TRUE,R_38Hc6ouANkuMHrX,EN,1,"I have read and understood the above, and I consent to participate in this survey.",0,0,6.703,0,PlanetVeg sent an email to staff and students asking them to reflect on the effect of the University’s catering on climate change.,SuperGreens distributed a petition aimed at staff and students.,69.55,123.986,124.574,5,NA,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,1.93,7.43,7.958,8,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,1.722,9.741,10.51,12,Agree,Agree,Strongly Disagree,Slightly Disagree,Agree,Agree,Strongly Disagree,Slightly Disagree,1.39,16.74,17.659,19,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,2.143,10.437,11.541,5,Female,NA,37,Employed part time,4 year degree,"$100,000 - $149,999",Moderate,No,NA,211,EN,NA,1,0
100,362,TRUE,R_7m7VpAhbvAVSseH,EN,1,"I have read and understood the above, and I consent to participate in this survey.",1.45,21.247,44.18,2,PlanetVeg sent an email to staff and students asking them to reflect on the effect of the University’s catering on climate change.,SuperGreens distributed a petition aimed at staff and students.,1.622,207.695,208.269,66,NA,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,3.201,12.703,13.575,8,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,1.701,11.317,13.149,8,Slightly Agree,Disagree,Strongly Disagree,Strongly Disagree,Slightly Agree,Disagree,Strongly Disagree,Strongly Disagree,1.239,15.966,16.495,13,Agree,Agree,Disagree,Slightly Agree,3.1,19.783,20.334,12,Female,NA,69,Employed part time,2 year degree,"$40,000 - $59,999",Liberal,No,NA,362,EN,NA,1,0
100,361,TRUE,R_5t00BsH9j0VZ0aZ,EN,1,"I have read and understood the above, and I consent to participate in this survey.",0,0,23.237,0,PlanetVeg sent an email to staff and students asking them to reflect on the effect of the University’s catering on climate change.,SuperGreens distributed a petition aimed at staff and students.,6.374,161.482,174.075,9,NA,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,8.928,32.484,32.784,12,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,4.515,16.554,18.342,14,Agree,Slightly Agree,Disagree,Slightly Disagree,Agree,Slightly Agree,Disagree,Slightly Disagree,6.536,35.569,36.332,18,Agree,Strongly Agree,Disagree,Agree,2.954,12.478,13.132,4,Male,NA,38,Employed full time,Some college,"$60,000 - $79,999",Liberal,No,NA,361,EN,NA,1,0
100,341,TRUE,R_3Jf2KmYwSz8luKA,EN,1,"I have read and understood the above, and I consent to participate in this survey.",0,0,8.767,0,NA,NA,NA,NA,NA,NA,PlanetVeg sent an email to staff and students asking them to reflect on the effect of the University’s catering on climate change.,"SuperGreens distributed a petition and if people refused to sign it, they harassed them.",45.919,95.135,97.631,3,Agree,Strongly Disagree,Agree,Agree,4.024,18.988,20.096,10,Disagree,Slightly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,19.085,32.263,33.052,12,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Slightly Agree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,1.449,18.481,19.336,17,Strongly Agree,Agree,Strongly Agree,Agree,3.417,8.287,9.871,4,Male,NA,40,Employed full time,4 year degree,"$40,000 - $59,999",Moderate,No,NA,341,EN,NA,1,1
100,396,TRUE,R_7f1IkAP13NauODW,EN,0.8999999761581421,"I have read and understood the above, and I consent to participate in this survey.",31.436,31.436,32.001,1,NA,NA,NA,NA,NA,NA,PlanetVeg sent an email to staff and students asking them to reflect on the effect of the University’s catering on climate change.,"SuperGreens distributed a petition and if people refused to sign it, they harassed them.",0.494,143.622,144.3,22,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,9.192,26.937,28.792,14,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,13.748,32.185,32.957,11,Slightly Agree,Slightly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,68.698,88.255,88.885,12,Slightly Agree,Agree,Strongly Disagree,Strongly Agree,3.1,13.97,14.739,7,Female,NA,44,Employed full time,High school graduate,"$60,000 - $79,999",Very Liberal,No,NA,396,EN,NA,1,1
100,384,TRUE,R_5IYOWtKVvrC6fOd,EN,1,"I have read and understood the above, and I consent to participate in this survey.",0.945,16.169,41.717,2,NA,NA,NA,NA,NA,NA,PlanetVeg sent an email to staff and students asking them to reflect on the effect of the University’s catering on climate change.,"SuperGreens distributed a petition and if people refused to sign it, they harassed them.",14.306,135.106,178.576,7,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,4.814,13.054,18.11,10,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,15.652,29.466,31.259,13,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,1.615,14.387,18.29,15,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,5.984,21.688,28.536,7,Male,NA,36,Employed full time,4 year degree,"$60,000 - $79,999",Liberal,No,NA,384,EN,NA,1,1
100,241,TRUE,R_6pouxzZDwtcpnqh,EN,1,"I have read and understood the above, and I consent to participate in this survey.",0,0,30.096,0,PlanetVeg sent an email to staff and students asking them to reflect on the effect of the University’s catering on climate change.,SuperGreens distributed a petition aimed at staff and students.,86.65,105.621,114.901,6,NA,NA,NA,NA,NA,NA,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,4.118,11.901,13.728,5,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,1.794,9.218,10.657,7,Agree,Strongly Agree,Strongly Agree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Slightly Agree,1.821,15.324,17.313,14,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,3.045,12.251,13.024,4,Female,NA,25,Student,4 year degree,"$60,000 - $79,999",Very Liberal,No,:),241,EN,NA,1,0
100,412,TRUE,R_3EHpV80nZV3OQiB,EN,1,"I have read and understood the above, and I consent to participate in this survey.",29.122,29.306,32.768,2,NA,NA,NA,NA,NA,NA,PlanetVeg sent an email to staff and students asking them to reflect on the effect of the University’s catering on climate change.,"SuperGreens distributed a petition and if people refused to sign it, they harassed them.",2.65,231.712,235.84,34,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2.642,10.484,12.278,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,4.08,14.424,16.821,12,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,1.965,17.796,19.781,16,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,9.077,29.673,31,20,Male,NA,34,Employed full time,High school graduate,"$80,000 - $99,999",Conservative,No,All good,412,EN,NA,1,1
100,384,TRUE,R_6nCyvXesX5dxRMR,EN,1,"I have read and understood the above, and I consent to participate in this survey.",23.82,24.823,29.161,2,NA,NA,NA,NA,NA,NA,PlanetVeg sent an email to staff and students asking them to reflect on the effect of the University’s catering on climate change.,"SuperGreens distributed a petition and if people refused to sign it, they harassed them.",96.762,137.047,138.769,4,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,2.2,10.566,12.217,9,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,1.575,14.719,15.694,13,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,1.531,57.534,59.842,22,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,11.839,14.394,17.362,4,Male,NA,31,Employed full time,4 year degree,"$60,000 - $79,999",Very Liberal,No,NA,384,EN,NA,1,1
100,310,TRUE,R_7tPFh4A8XT3Jjvr,EN,1,"I have read and understood the above, and I consent to participate in this survey.",0.986,8.345,10.019,4,NA,NA,NA,NA,NA,NA,PlanetVeg sent an email to staff and students asking them to reflect on the effect of the University’s catering on climate change.,"SuperGreens distributed a petition and if people refused to sign it, they harassed them.",0.763,213.138,214.118,28,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,3.115,19.108,19.433,15,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,1.487,7.613,7.889,15,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Slightly Agree,0.923,12.104,12.812,29,Agree,Agree,Agree,Agree,3.911,7.088,8.597,6,Male,NA,25,Employed full time,4 year degree,"$100,000 - $149,999",Liberal,No,NA,310,EN,NA,1,1
